사업자등록번호,메모,기업명,결과코드,결과내용,선물환_건수,선물환_매수잔액,선물환_매도잔액,선물환_최종갱신일,옵션_건수,옵션_매수잔액,옵션_매도잔액,옵션_매수콜,옵션_매수풋,옵션_매도콜,옵션_매도풋,옵션_최종갱신일,통화스왑_건수,통화스왑_매수잔액,통화스왑_매도잔액,통화스왑_최종갱신일,USD환산금액,조회일시
101-86-60116,,SK 지오센트릭 주식회사,000,정상처리되었습니다.,58,"1,004,078,273.54","216,000,000.00",2026-08-25,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-25,2,0.00,"130,000,000.00",2026-06-24,-,2026-08-28 15:46:17
126-81-03725,,HYNIX SEMICONDU,000,정상처리되었습니다.,0,0.00,0.00,2022-12-30,0,0.00,0.00,0.00,0.00,0.00,0.00,2022-12-30,0,0.00,0.00,2023-02-28,-,2026-08-28 15:46:20
559-86-01539,,SK IE TECHNOLOG,000,정상처리되었습니다.,11,0.00,"223,050,000.00",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,0000-00-00,-,2026-08-28 15:46:22
101-87-02452,,에스케이넥실리스 주식회사,000,정상처리되었습니다.,31,"168,498,729.15","831,977.50",2026-08-25,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-25,0,0.00,0.00,0000-00-00,-,2026-08-28 15:46:25
242-87-02258,,SK ON CO LTD (E,000,정상처리되었습니다.,321,"3,711,882,937.58","2,084,991,514.52",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,8,0.00,"900,000,000.00",2026-05-21,-,2026-08-28 15:46:28
116-81-36743,,S-Oil Corporati,000,정상처리되었습니다.,60,"1,110,934,500.00","3,035,180,275.03",2026-08-20,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-20,2,0.00,"322,000,000.00",2026-04-29,-,2026-08-28 15:46:30
120-81-52780,,SAMSUNG HEAVY I,000,정상처리되었습니다.,2601,"7,935,850,692.34","4,231,159,810.61",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2023-05-11,-,2026-08-28 15:46:33
316-81-04477,,Hanwha TotalEne,000,정상처리되었습니다.,227,"1,015,000,000.00","1,644,500,000.00",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2024-01-23,-,2026-08-28 15:46:36
454-87-03296,,SAMYANG BIOPHAR,000,정상처리되었습니다.,21,"21,363,841.03","500,000.00",2026-08-24,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-24,0,0.00,0.00,0000-00-00,-,2026-08-28 15:46:38
101-86-66838,,SAMYANG CORP.,000,정상처리되었습니다.,154,"17,629,381.23","230,911,026.63",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2022-02-14,-,2026-08-28 15:46:41
214-81-85820,,TRANE KOREA INC,000,정상처리되었습니다.,7,0.00,"16,151,000.00",2026-07-30,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-07-30,0,0.00,0.00,0000-00-00,-,2026-08-28 15:46:44
